Request ID,Request Description
09-FOI-00013,"1. A copy of the most recent audit report produced by and, or behalf of Amtrak concerning Caremark; and 2. The most recent document/report that shows Amtrak plan participants' utilization of individual pharmacies."
09-FOI-00014,Requester would like both the audit and the audit report.
09-FOI-00015,A copy of the most recent audit performed by and/or behalf of Amtrak concerning Caremark. The most recent document/report from Caremark that shows Amtrak plan particpations' utilization of individual pharmacies.
09-FOI-00016,"1. All records pertaining to any audits performed by and, or on behalf of Amtrak concerning Caremark; and 2. All reports received by and, or on behalf of Amtrak from Caremark's audits of pharmacies on behalf of Amtrak."
09-FOI-00017,Request seeks the records described below regarding Amtrak Project No. 13101.014 - NRT Vent Construction Contract # C-097-77939: Supplemental Contract The RFP relatd to the award of the Supplmental Contract The complete set of Contract Documents related to the Supplemental Contract The plans and specifications related to the Supplemental Contract The bids received relating to the Supplemental Contract The proposals pertaining to the Supplemental Contract The records of negotiation pertaining to the Supplemental Contract
09-FOI-00018,"Requests seeks raw data used to calculate the On Time Performance of Amtrak's Piedmont and Carolinian trains for the 2003-2008 time periods. The request specifically seeks date for the above-referenced trains from station to station, for North Carolina stations only."
09-FOI-00019,Request seeks the raw data used to calculate the on time performance of Amtrak's Piedmont and Carolinian trains. The request seeks the actual departure and arrival times for these trains for the 2003-2008 time period.
09-FOI-00020,"Request seeks a list of Superline cars at Beech Grove, Indiana shops that are wiating for repair and the estimated costs to repair same cars."
09-FOI-00021,"REquest seeks: Data: Ridership/passengers REvenue #trains operated/completion percentage On-line statistics By: Origination and destination traffic between the following stations: BOS, NYP, PHL, BAL, and WAS (separated by segment) By month - from Dec 04 to most current Acela & NE REgional products (separated by product)"
09-FOI-00022,Request seeks winning bid solicitation information regarding Q 8099-145-040
09-FOI-00023,"The request seeks the records described below: The salaries and bonuses, if applicable, of the top ten highest paid Amtrak management poersonnel. The top ten paid outside cotractors used by Amtrak and the value of their contract."
09-FOI-00024,Request seeks the salaries and bonuses of the top ten paid Amtrak officials.
09-FOI-00025,"Request seeks all documents concerning: 1) fatalities; 2) accidents or; 3) reports of trespass that have occurred on on near train tracks in Massachusetts between mile-markers MP (or QB) 0.5 and 10.75 (from Boston to Newton), including but not limited to any incidents on the Mail Line track from 1995 to the present"
09-FOI-00026,"All documents concerning 1) fatalities; 2) accidents; or 3) reports of trespass that have occurred on or near train tracks in Massachusetts between mile-markers MP (or QB) 0.5 and 10.75 (from Boston to Newton), incluidng but not limited to any incidents on the Main Line track, from 1995 to the present."
09-FOI-00027,"All documents concering 1) fatalities; 2) accidents; or 3) reports of trespass that have occurred on or near train tracks in Massachusetts between mile markers MP (or QB) 0.5 and 10.75 (from Boston to Newton), inlcuiding but not limited to any incidents on the Main Line track, from 2000 to 2004."
09-FOI-00028,Request seeks a copy of the most recent two periodic analyses or reports that summarize customer complaints
09-FOI-00029,"Request seeks copies of Amtrak maintenace records indicating track workers present at Sharon, MA train station during June and July 2008."
09-FOI-00030,"REquest seeks a copy of any reports that Amtrak may have on the behavior of William Erdman when he boarded an Amtrak train on November 15, 2008 taveling from Chicago, IL to Seattle, WA."
09-FOI-00031,"Request seeks bid results, indicating awarded prics and vendors Amtrak bid solicitation for Poly Bags (X-036-8148-001)"
09-FOI-00032,"Request seeks access to and copies of correspondence (letter, e-mai, or fax), between Amtrak and Duane Kerzic of New Brunswick, New Jersey sent or received by Amtrak after December 21, 2008, and before January 24, 2009."
09-FOI-00033,"1.	All contracts for vehicle (train) and cargo inspection systems; 2.	All patent applications for Vehicle (train) and Cargo inspection systems; 3.	All research of vehicle (train) and cargo inspection systems; 4.	Identify all contractors for vehicle (train) and cargo inspection systems for Amtrak since January 2005 and provide a copy of their patents; 5.	All documents referring to U.S. Patent U.S. 6,972,693 B2; 6.	Documents of appropriations for vehicle (train) and cargo inspection systems for 2005, 2006, 2007, 2008 and 2009; 7.	Documents of an ownership interest of Amtrak with companies supplying patents or manufacturing of vehicle and cargo inspection systems."
09-FOI-00034,Request seeks the names and bid results of all responsive bidders for Request for Proposal X-036-8148-001.
09-FOI-00035,"Request seeks cleaning, deodorizing, insecticide sparys, that might have been used on train requester was traveling on from West Palm Beach, Florida to Trenton, New Jersey on March 7, 2009."
09-FOI-00036,Request seeks pricing for each line item for all bidders participating in the Amtrak bid solicitations listed below: 1. Q 8212-745-073 2. Q 8228-811-073 3. Q 8231-812-073
09-FOI-00037,Request seeks a copy of the system wide recycling plan at Amtrak.
09-FOI-00038,"Request seeks the metrics for the Acela between Washington, DC and NYC."
09-FOI-00039,Request seeks monthly report for the Acela between Washington and NYC.
09-FOI-00040,"The request seeks the information described below regarding the Acela: 	Why was the Acela introduced? 	What is Acelas long term goal? 	What is Amtraks long term high speed rail plan? 	Total traffic between WAS and NYC 	Acelas market share 	Available seat miles 	Passenger seat miles 	Cost per available seat mile 	Elasticity of the north east corridor with respect to cost and time 	Demographics of passenger 	Customer satisfaction rating 	On time performance v air? (Critical for the corporate market) 	Internet on board? If not, why not? (technical or cost  again a corporate requirement."
09-FOI-00041,"Requeset seeks the information listed below regarding Amtrak employees salaries: 1.	the individual salaries (weekly, monthly or annual) 2.	job titles 3.	department/agency (if available 4.	location of job (city or metro area) for all employees"
09-FOI-00042,"Request seeks seeks a paper copy of the FOIA log for the National Railroad Passenger Corporation, dating from January 1, 2009 to whenever this request is completed"
09-FOI-00043,"Request seeks a copy of each of the quarterly reports of the Amtrak Potable Water Sampling Program, for the time periods First Quarter 2005 through Third Quarter 2008."
09-FOI-00044,"The request seeks documentation of Carol B. Reiss travel on an Amtrak train traveling roundtrip from Newark, NJ to Jacksonville, FL on June 9, 2006."
09-FOI-00045,"The request seeks the records described below:  A copy of the data base listing for the index or listings of Amtraks Mechanical Bulletins, for all years, in electronic or digital format. The requester indicates in his letter that if a copy cannot be easily produced from the data base, then he would like Amtrak to provide a paper listing or printout of the bulletins for the year 2000 to the present. A copy of each of the Amtrak Mechanical Bulletins numbered MB 09-01 through MB 09-20."
09-FOI-00046,"Request seeks the following information regarding Amtrak employee salaries: 1. The individual salaries (weekly, monthly, or annual) 2. Job titles 3. Department/Agency 4. Location of job (city or metro area) for all employees The requester would like the information in electronic format, via email or CD-ROM."
09-FOI-00047,"Request seeks all incident reports and/or complaints and/or claims filed regarding the station at Kissimmee, Florida within the last 12 months."
09-FOI-00048,"Request seeks the records described below: 1. A copy of all notices and/or complaints of sidewalk conditions at Amtrak's train station in Kissimmee, Florida for two years prior to September 20, 2008. 2. A description of any repairs and/or construction of sidewalks at the Kissimmee Station for two years prior to September 20, 2008."
09-FOI-00049,Not a proper FOIA Request. Ms. Webber had a complaint againt Amtrak Police Officer. Letter was fowarded to Customer Service.
09-FOI-00050,Request seeks federal employee information - requester thinks Amtrak is a federal agency
09-FOI-00051,"Request seeks an extract of data from Amtraks Financial Information System (FIS), specifically, a copy of the actual database records in the system that were posted during the month of December 2008."
09-FOI-00052,Request seeks winning contract price for item 69-10-4785 grease.
09-FOI-00053,"Request seeks correspondence between Senator Biden and Amtrak Board of Directors between the time period of January 2007 to September 3, 2008."
09-FOI-00054,See attached
09-FOI-00055,The request specifically seeks the average salaries as well as a minimum and maximum salary of engineers and conductors at Amtrak.
09-FOI-00056,"Request seeks the records and information described below 1.	Amtrak 2008 Annual Report 2.	Why the areas in the Southwest United States do not have developed train routes? 3.	Top 50 Amtrak Stations by number of boardings, including the Southwest area."
09-FOI-00057,Not a proper FOIA Request. Ms. Webber had a complaint againt Amtrak Police Officer. Letter was fowarded to Customer Service and Amtrak Police Department.
09-FOI-00058,"The request seeks any guidance documents or emails concerning whether, how and by what means Amtrak will carry out the intent of the Presidents Memorandum on the Freedom of Information [Act] issued by the White House on January 21, 2009."
09-FOI-00059,"Request seeks the records described below under the Freeodm of Information Law regarding injury incurred by Danny Schnerg on April 25, 2008: 1. Aided report of incident which occured on April 25, 2008 at Baltimore Penn Station/Amtrak stop where plaintiff was injured; 2. Aided Report; 3. Correspondence Sheet G-2 Statements from the conductor and train operator; 4. Amtrak Train Incident Report; 5. Train Delay Report; 6. All other incident or accident reports regarding this occurrence; 7. Plans for the track bed, including signal drawings and elevations; 8. Plans, drawings and specifications for train passenger car involved in this occurrence; 9. All documents, reports, records, and information of reported accidents at the above location from 2004 to the present; and 10. Copies of all photographs taken at the scene of the occurrence."
09-FOI-00060,"DUPLICATE REQUEST Request seeks the records described below under the Freeodm of Information Law regarding injury incurred by Danny Schnerg on April 25, 2008: 1. Aided report of incident which occured on April 25, 2008 at Baltimore Penn Station/Amtrak stop where plaintiff was injured; 2. Aided Report; 3. Correspondence Sheet G-2 Statements from the conductor and train operator; 4. Amtrak Train Incident Report; 5. Train Delay Report; 6. All other incident or accident reports regarding this occurrence; 7. Plans for the track bed, including signal drawings and elevations; 8. Plans, drawings and specifications for train passenger car involved in this occurrence; 9. All documents, reports, records, and information of reported accidents at the above location from 2004 to the present; and 10. Copies of all photographs taken at the scene of the occurrence."
09-FOI-00061,"3RD Duplicate -Request seeks the records described below under the Freeodm of Information Law regarding injury incurred by Danny Schnerg on April 25, 2008: 1. Aided report of incident which occured on April 25, 2008 at Baltimore Penn Station/Amtrak stop where plaintiff was injured; 2. Aided Report; 3. Correspondence Sheet G-2 Statements from the conductor and train operator; 4. Amtrak Train Incident Report; 5. Train Delay Report; 6. All other incident or accident reports regarding this occurrence; 7. Plans for the track bed, including signal drawings and elevations; 8. Plans, drawings and specifications for train passenger car involved in this occurrence; 9. All documents, reports, records, and information of reported accidents at the above location from 2004 to the present; and 10. Copies of all photographs taken at the scene of the occurrence."
09-FOI-00062,Request seeks the records described below regarding Amtraks Stanwood Construction Project: 1.	Copies of the proposal scoring information from Amtraks Technical Committee 2.	Copies of other firms proposals
09-FOI-00063,"Request seeks the records described below: 1. A copy of all documents related to all NRPC (or any subsumed or controlled entity, or DBA, including Amtrak) leases of radio communication frequencies from the National Rural Telecommunications Cooperative based in Herndon, Virginia; and 2.All other NRPC lease of radio communications frequencies."
09-FOI-00064,Request seeks the records described below regarding the Acela Express Route: 1. Index/unique record number (Reservation Number) 2. Purchase date and Time of the ticket (Time Date Format) 3. Actual Travel Date and Time (Time Date format) 4. Price of Ticket (Double) 5. Departing Station/Origin (string) 6. Arrival Station/Destination (String) 7. Trip Duration (Time- any units) 8. Train/Service Number (Stringer or integer if available) 9. Seat Type: Business/Coach/etc. (string)
09-FOI-00065,"FOIA request from Arash Iranshahi regarding his travel on Amtrak trains between the U.S. and Canada during 2005 and 2006. The first trip was in December 2005 from Montreal to Croton-on Hudson, NY. The second trip was in June 2006 from Montreal to Philadelphia. The request specifically seeks the exact dates of the above-referenced trips."
09-FOI-00066,"Request seeks documentation of travel between Fresno to Solana Beach, CA for the time period 03/26/08 to the present."
09-FOI-00067,Request seeks the bid results for X-036-8148-001.
09-FOI-00068,"Request seeks all applications for promotions, the dates of all applications, position title, salary scale, closing date, application receipt date, Human Resources representative assigned to the position, outcome of the application, date of the interview, date requester was interviewed, job number, basis for not being considered."
09-FOI-00069,"Request seeks all applications for promotions, the dates of all applications, position title, salary scale, closing date, application receipt date, Human Resources representative assigned to the position, outcome of the application, date of the interview, date requester was interviewed, job number, basis for not being considered."
09-FOI-00070,"Request seeks any and all payments made by the National Railroad Passenger Corporation to Florlift of New Jersey, Inc. for Dumbwaiters for the Diner Lounge Cars (P.O. S-061-63906)"
09-FOI-00071,Request seeks the records described below regarding Amtraks bid invitation number X-069-13909 for project FSP Madison River Road Railroad Bridge Replacement (project id: 1001040): 1.	Post bid information 2.	Low bid information for the three low bidders 3.	Name of contract awardee
09-FOI-00072,Request seeks the winning contract price for item 37-1800-4300 and 37-1800-4350 for grease.
09-FOI-00073,"Request seeks a copy of any and all documents prepared by employees of the National Railroad Passenger Corporation/Amtrak concerning the injuries to Thomas Martin in an accident that occurred on May 30, 2008, including but not limited to, Amtraks entire investigative file, inclusive of any and all incident/accident reports, investi¬gative reports, written or transcribed statements, and handwritten or typed notes of conversations with witnesses or parties involved."
09-FOI-00074,"Request seeks the records described below: 1.	Total compensation for all Amtrak employees assigned to the Caltrain railway service for calendar years 2006, 2007 and 2008. 2.	Information for each year with every employees full first, last name and title. 3.	If the employee is hourly, you would like to see their compensation broken down into regular hourly and overtime pay. 4.	If an employee did not work for the full year, you would like to have that indicated to enable a fair comparison."
09-FOI-00075,"All correspondence including letters, transcripts or summaries of telephone calls, as well as any e-mails, other electronic communications from Members of the House or Senate, officers of the House or Senate, committees of the House or Senate, or any staff members of the House or Senate to the agency (Amtrak) regarding the expenditure of funds made available by the American Recovery and Reinvestment Act (PL 111-5) and transcripts, schedules, minutes and/or agendas of meetings between Members of the House or Senate, officers of the House or Senate, committees of the House or Senate of any staff member of the House or Senate with the agency (Amtrak) regarding the expenditure of funds made available by the American Recovery and Reinvestment Act (PL 111-5)."
09-FOI-00076,"Request seeks the records described below: 1. All documents of every kind, nature and description which identify, establish memorialize or describe the property interests and or usage rights held by the NRPC (""Amtrak"") in Bridge D-05-047 Rt. 128 over Amtrak), at Amtrak Mile Posts 217.48 and 217.49, in Dedham, MA, and in the approaches, railroad tracks, rights of way and other appurtenances thereto (hereinafter collectively the ""Bridge""). 2. All documents of every kind, nature and description which constitute or memorialize any contracts, permits, licenses and other agreements by and between Amtrak and the Commonwealth of Massachusetts, acting by and through its Highway Department (""MHD"") regarding access to and control of the Bridge for purposes of construction, maintenance and improvement of the Bridge and of the tracks and reoadways contiguous thereto (the ""Agreements""). 3. All documents of every kind, nature and description which amend or modify any or all of the Agreements. 4. To the extent not already provided pursuant to Docment Requests 2 and 3, all documents of every kind, nature and description which constitution, memorialize, or modify any agreements, procedures, reules or protocols for the establishment, implementation, coordination or modification of itme periods for (a) track outages, (b) power outages, and (c) work by MHD contractors at the Bridge (hereinafter collectively (""Outages""). 5. All documents of every kind, nature and description which constitute or relate to actions by Amtrak, MHD or FHWA to obtain, establish, coordinate, implement, coancel or modify time periods for Outages at the Bridge in connection with a construction project known as MHD Contract No. 34638, Canton/Dedham: Bridge Construction and Roadwork at I-96 and I-93 Interchange (the ""Project""). 6. All written communications of every kind, nature and description, including but not limited to letters, transmittals, memoranda and e-mails, by and between Amtrak, MHD and/or the Federal Highway Administration (""FHWA"") regarding Outages at the Bridge in conneciton with the Project and regarding extra costs being incurred by MHD's contractor in connection with Outages at the Project. 7. All of Amtrak's, MHD's, and FHWA'S internal written communications of every kind, nature and description, includin but not limited letters, transmittals, memoranda and e-mails, regarding the Outages in connection with the Project and regarding extra costs being incurred by MHD's contractor in connection with Outages at the Project."
09-FOI-00077,"Request seeks records described below: 1. January 21, 2009 Memorandum from President Obama. 2. March 19, 2009 Memo from Attorney General Eric Holder 3. DOJ OIP Attorney General Holder Issues New Guidelines Governing the FOIA 4. OIP Guidance on President Obama's FOIA Memorandum"
09-FOI-00078,"Request seeks Amtrak's Operational Log or a letter confirming a scheduling delay for the following train: 56 Vermonter Departure Newark, NJ to Hartford, Connecticut"
09-FOI-00079,"Request seeks the records described below: 1.	Copies of all contracts made between Amtrak and security contractors in Washington, DC, Virginia and Maryland, excluding any security contracts administered by Federal Protective Service (FPS) 2.	Copies of all Collective Bargaining Agreements made between unions representing security personnel and security contractors operating at all sites within Amtrak where security services are contracted in Washington, DC, Maryland and Virginia, excluding any security contracts administered by FPS."
09-FOI-00080,"Request seeks: Lease Agreement between Amtrak and Muros South Limited Partnership for Maintenance of a parking lot at the Old Saybrook Train Station, Saybrook, Connecticut."
09-FOI-00081,"Request seeks the records described below regarding Amtrak Project No. 13101.014 - NRT Vent Construction - Contract C#C-097-77939: All Notices of Award regarding RFG: X047-8137-002, dated October 10, 2008, inclusive of all Notices of Award or Notices to Proceed issued to, or similar correspondence or written communications with Machinery Services Corporation."
09-FOI-00082,"All Notices of Award regarding RFG: X047-8137-002, dated October 10, 2008, inclusive of all Notices of Award or Notices to Proceed issued to, or similar correspondence or written communications with Machinery Services Corporation. DUPLICATE REQUEST"
09-FOI-00083,"The request seeks all planning records, in any format, regardless of state of completion, associated with the Kansas Amtrak Feasibility Study."
09-FOI-00084,"Request seeks access to and copies of any and all records of communication (including but not limited to letters, written requests, reports, telephone records, electronic communication, complaints, investigations, violations and memos) between Amtrak and Robert (Bob) F. McDonnell or his office for the following dates: 1.	2006  March 1, 2009, when McDonnell was the Attorney General of Virginia; 2.	1992  2005, when McDonnell was a member of the Virginia House of Delegates from the 84th District; 3.	1989  1992  when McDonnell was a prosecutor with the Office of the Commonwealths Attorney for the City of Virginia Beach. 4.	All FOIA requests filed since January 1, 2004 with Amtrak mentioning Robert F. McDonnell."
09-FOI-00085,Request seeks bid results and how many bids were received regarding FSP <iddletown Two Undergrade bridges replacement.
09-FOI-00086,DUPLICATE REQUEST
09-FOI-00087,NOT A PROPER FOIA REQUEST 1.	What is the history behind integrating US railroads? 2.	Does Amtrak use a set of criteria for assessing the success of integrating technical components into the system (both past and current)? 3.	What made and continues to make our system of US railroads interchangeable and harmonious? 4.	What economic indicators are analyzed to assess this standardization?
09-FOI-00088,"Travel documentation for Jesse Wineberry and Anthony Rainey for their travel between Washington, DC and New York Penn Station on November 18, 2003."
09-FOI-00089,Request seeks a copy of the Amtrak Tri-Venture Penn Station Operations Timetable.
09-FOI-00090,"1.	Incident report(s) and other documents related to the discovery, investigation, and removal of Mr. Grables remains, including documents created by Amtrak employees and documents received by Amtrak from other agencies. 2.	Passenger names and the names of Amtrak crew members and their assignments, from the beginning of Mr. Grables trip from Chicago until his remains were removed from the train."
09-FOI-00091,"Request seeks documentation of Miriam and Jet Bakabak's travel on an Amtrak train traveling between Los Angeles, California Union Station and New York, Penn Station on December 22, 2005."
09-FOI-00092,"Request seeks records described below: 1.	Records on how much ammunition [Amtraks] Police Department purchased in 2008 (i.e., 100,00 rounds of 9mm, 200,000 rounds of 5.56 etc.). 2.	The cost by caliber (for all small arms ammunition up to and including .50 cal) 3.	The number of agents authorized to carry firearms in 2008."
09-FOI-00093,Request seeks a copy of Mechanical Bulletin dated 11/14/08
09-FOI-00094,"The request seeks a list of any purchases that Amtrak made during the past 10 years from Trans-lectric Supply Inc., located at 1321 Brighton Street, Philadelphia, Pennsylvanai. In addition, the request seeks the date of the purchases, the items purchased and the amount of each purchase."
09-FOI-00095,"The request seeks a list of any purchases that Amtrak made during the past 10 years from Trans-lectric Supply Inc., located at 1321 Brighton Street, Philadelphia, Pennsylvania. In addition, the requester would like to know the date of the purchases, the items purchased and the amount of each purchase. DUPLICATE REQUEST"
09-FOI-00096,Request seeks documentation of his travel on Amtrak trains from November 2007 to December 2008
09-FOI-00097,"A copy of the documents that establish the legal parameters for passenger information sharig with feeral agencies for the time period of January 1, 2007 to the present."
09-FOI-00098,"Request seeks a copy of the minutes, agendas and other handout documents associated with the following Amtrak program:  Strengthen relationship with freight railroads: Schedule bimonthly meeting to discus eliminating major cause of delay."
09-FOI-00099,Copies of all records and emails duirng 01/08 to present held by OSSSO regarding procedures and limitations on passenger information sharing with federal agencies
09-FOI-00100,Request seeks bid information regarding RFQ Q 8168-514-045
09-FOI-00101,"The request seeks the records described below: 1.	All communications, including letters, memoranda, and e-mail, between any employee of the Office of Inspector General and any employee of the Office of the President and Chief Executive Officer or any member of staff of the Board of Directors from February 1, 2009 to the present. 2.	All communications, including letters, memoranda and e-mail, regarding or mentioning former Inspector Fred E. Weiderhold, Jr. to or from any employee of the Office of the President and Chief Executive Officer or any member of staff of the Board of Directors and any employee of the Executive Office of the President and the Office of the Vice President, from February 1, 2009 to the present."
09-FOI-00102,Requester seeks a coy of the executed Contract for Contract # 090-33923
09-FOI-00103,Travel documentation for travel between Florida and Pennsylvania
09-FOI-00104,Request seeks a copy of Amtrak's book of design and construction standards.
09-FOI-00105,"Request seeks all statements, reports, surveys, diagrams, photographs and all othre items pertaining to the railroad crossing accident investigation of Pinkie Marie Moore at or near Fairview Highway/Road, Crossing #283612C in the City of Charlotte County of Eaton, State of Michigan on July 1, 2008 at approximately 9:27 a.m. A complete listing of all injuries and/or deaths occuring at the location and/or Crossing #283612C where Pinkie Marie Moore's occurred, including but not limited to all investigations, police reports, photographs, drawings, and videotapes of similar incidents."
09-FOI-00106,The request seeks all incident reports or use-of-force- reports regarding the incident at 30th Street Station involving APD Officers and Richard Kreimer.
09-FOI-00107,"The request seeks the records described below: 1. The complete investigation file UNREDACTED including but not limited to all statements, reports, surveys, diagrams, photographs, and all other items pertaining to the railroad crossing incident investigation of Pinkie Marie Moore at or near Fairview HIgway/Road, Crossing #283612C, in the City of Charlotte, County of Eaton, State of Michigan, on July 1, 2008, at approximately 9:27 a.m. 2. A complete listing of all injuries and/or deaths occurring at the location and/or Crossing #283612C where Pinkie Marie Moore's occurred including, but not limited to all investigations, police reports, photographs, drawings, and videotapes of similar incidents."
09-FOI-00108,"The request seeks: 1.	The complete investigation file (UNREDACTED) including but not limited to all statements, reports, surveys, diagrams, photographs, and all other items pertaining to the railroad crossing accident investigation of Pinkie Marie Moore at or near Fairview Highway/Road, Crossing # 283612C, in the City of Charlotte, County of Eaton, State of Michigan, on July 1, 2008, at approximately 9:27 a.m. 2.	A complete listing of all injuries and/or deaths at the location and/or Crossing #283612C where Pinkie Marie Moores occurred, including but not limited to all investigations, police reports, photographs, drawings, and videotapes of similar incidents."
09-FOI-00109,"Request seeks copies of all incident reports, use-of-force reports and serveillance videos regarding an incident between Richard Kreimer and several Amtrak Police officers in the Food Court of the 30th Street Station, Philadelphia, PA on Saturday June 13, 2009 at about 3:00 pm. The request also includes surveillance videos of the Food Court covering the period from 2:30 pm to 4:00 pm."
09-FOI-00110,Request seeks travel documentation for Duan Boyd's travel on an Amtrak train for the time period of May 2003 to December 2005.
09-FOI-00111,"Request seeks a copy of any and all surveillance video, in-train camera video or other recordings from a July 9, 2009 fatal accident involving 5 young people in Canton Township, Michigan."
09-FOI-00112,"DUPLICATE Request seeks a copy of any and all surveillance video, in-train camera video or other recordings from a July 9, 2009 fatal accident involving 5 young people in Canton Township, Michigan."
09-FOI-00113,"The request seeks the records described below regarding the fatal July 9, 2009 accident involving a car and an Amtrak train in Canton, Michigan 1.	Copies of any reports related to the accident, including any preliminary findings, supplemental reports, witness statements or other reports on the accident. 2.	Copies of any audio visual recordings related to the accident. 3.	Copies of any correspondence, including e-mail, related to the accident between Amtrak and the Federal Railroad Administration, the Canton Public Safety Department, the families of those killed in the accident, federal or state lawmakers, and any other state of federal depart or agency. 4.	Copies of any internal email, memos, and the like, regarding the accident"
09-FOI-00114,"Request seeks contracts between Amtrak and security contractors which provide physical security services at any Amtrak locations within DC, MD and VA, where physical security officers are present (excluding contracts administered by Federal Protective Services). Time frame should only include current or pending contracts."
09-FOI-00115,"The request seeks the records described below regarding the accident involving an Amtrak passenger train and a Ford Fusion that occurred July 9, 2009 in Canton Township, Michigan: 1.	Copies of an accident report 2.	The name of the operating engineer 3.	Taped footage of the accident"
09-FOI-00116,"Request seeks a copy of the video recorded from Amtrak train #353, which was en route from Detroit to Chicago on Thursday, July 9, 2009 when it collided with a car about 12:30 pm EDT at a crossing in Canton, Michigan"
09-FOI-00117,"The request seeks a copy of video from the Amtrak train heading from Dearborn, MI toward Chicago which collided with a Ford passenger car on July 9, 2009 at approximately 12:30 pm."
