foia_id,departments,keywords
10-FOI-00111,Unknown,
10-FOI-00112,Unknown,
10-FOI-00113,Unknown,
10-FOI-00114,Central Reporting,accident
10-FOI-00116,"Video (surveillance videos, APD,EMCS),Central Reporting","video,accident"
10-FOI-00117,Unknown,
10-FOI-00118,"Video (surveillance videos, APD,EMCS),Central Reporting","video,accident"
10-FOI-00119,Contract Management,bid
10-FOI-00120,Unknown,
10-FOI-00121,Unknown,
10-FOI-00122,Unknown,
10-FOI-00123,Unknown,
10-FOI-00124,Mechanical Systems,locomotives
10-FOI-00125,Unknown,
10-FOI-00126,Unknown,
10-FOI-00127,Unknown,
10-FOI-00128,Unknown,
10-FOI-00129,Unknown,
10-FOI-00130,Central Reporting,incident
10-FOI-00131,Contract Management,bid
10-FOI-00132,"Video (surveillance videos, APD,EMCS)",video
10-FOI-00133,Contract Management,bid
10-FOI-00134,Unknown,
10-FOI-00135,Unknown,
10-FOI-00136,Unknown,
10-FOI-00137,Unknown,
10-FOI-00138,Contract Management,bid
10-FOI-00139,Unknown,
10-FOI-00140,Central Reporting,accident
10-FOI-00141,Unknown,
10-FOI-00142,Central Reporting,accident
10-FOI-00143,Unknown,
10-FOI-00144,Unknown,
10-FOI-00145,"Video (surveillance videos, APD,EMCS),Central Reporting","video,incident"
10-FOI-00146,Unknown,
10-FOI-00147,Claims,claims
10-FOI-00148,Unknown,
10-FOI-00149,Unknown,
10-FOI-00150,Police Department,police
10-FOI-00151,Unknown,
10-FOI-00152,"Ridership Statistics, Station Ridership Data",statistics
10-FOI-00153,Unknown,
10-FOI-00154,Unknown,
10-FOI-00156,Unknown,
10-FOI-00157,Unknown,
10-FOI-00158,Unknown,
10-FOI-00159,Unknown,
10-FOI-00160,Unknown,
10-FOI-00161,Unknown,
10-FOI-00162,Unknown,
10-FOI-00163,Police Department,police
10-FOI-00164,Contract Management,bid
10-FOI-00165,Unknown,
10-FOI-00166,Unknown,
10-FOI-00167,Unknown,
10-FOI-00168,Unknown,
10-FOI-00169,Central Reporting,accident
10-FOI-00170,Unknown,
10-FOI-00171,Unknown,
10-FOI-00172,Contract Management,contract
10-FOI-00173,Unknown,
10-FOI-00174,Unknown,
10-FOI-00175,Unknown,
10-FOI-00176,Unknown,
10-FOI-00177,"Central Reporting,Telephone Records","incident,telephone"
10-FOI-00178,Unknown,
10-FOI-00179,Telephone Records,telephone
10-FOI-00180,Unknown,
10-FOI-00181,Unknown,
10-FOI-00182,Unknown,
10-FOI-00183,Unknown,
10-FOI-00184,Unknown,
10-FOI-00185,Unknown,
10-FOI-00186,Contract Management,contract
10-FOI-00187,Unknown,
10-FOI-00188,"Pricing & Revenue Management, Train Fares",fee
10-FOI-00189,Unknown,
10-FOI-00190,Contract Management,contract
10-FOI-00191,Unknown,
10-FOI-00192,Unknown,
10-FOI-00193,Unknown,
10-FOI-00194,Unknown,
10-FOI-00195,Unknown,
10-FOI-00196,Central Reporting,accident
10-FOI-00197,Contract Management,contract
10-FOI-00198,Unknown,
10-FOI-00200,Unknown,
10-FOI-00201,"Central Reporting,Contract Management","incident,contractors"
10-FOI-00202,Unknown,
10-FOI-00203,Unknown,
10-FOI-00204,Unknown,
11-FOI-00001,Unknown,
11-FOI-00002,"Procurement,Contract Management","procurement,contract"
11-FOI-00003,Unknown,
11-FOI-00004,Unknown,
11-FOI-00005,Contract Management,bid
11-FOI-00006,Unknown,
11-FOI-00007,Unknown,
11-FOI-00008,Unknown,
11-FOI-00009,Unknown,
11-FOI-00010,Central Reporting,incident
11-FOI-00011,Unknown,
11-FOI-00012,Unknown,
11-FOI-00013,Central Reporting,accident
11-FOI-00014,Telephone Records,telephone
11-FOI-00015,Contract Management,contract
11-FOI-00016,Contract Management,contracts
11-FOI-00017,Unknown,
11-FOI-00018,Unknown,
11-FOI-00019,Contract Management,bid
11-FOI-00020,Unknown,
11-FOI-00021,Unknown,
11-FOI-00022,Central Reporting,incident
11-FOI-00023,Central Reporting,incident
11-FOI-00024,Unknown,
11-FOI-00025,Unknown,
11-FOI-00026,"Central Reporting,Police Department","incident,police"
11-FOI-00027,Unknown,
11-FOI-00028,Unknown,
11-FOI-00029,Unknown,
11-FOI-00030,Police Department,police
11-FOI-00031,Unknown,
11-FOI-00032,Unknown,
11-FOI-00033,Unknown,
11-FOI-00034,Contract Management,contract
11-FOI-00035,Procurement,procurement
11-FOI-00036,Unknown,
11-FOI-00037,Central Reporting,incident
11-FOI-00038,Unknown,
11-FOI-00039,Unknown,
11-FOI-00040,Unknown,
11-FOI-00041,Unknown,
11-FOI-00042,Unknown,
11-FOI-00043,Contract Management,contactor
11-FOI-00044,Contract Management,contractors
11-FOI-00045,Unknown,
11-FOI-00046,Contract Management,contract
11-FOI-00047,Unknown,
11-FOI-00048,Contract Management,contract
11-FOI-00049,Claims,claims
11-FOI-00050,Central Reporting,incident
11-FOI-00051,"Video (surveillance videos, APD,EMCS),Central Reporting","video,accident"
11-FOI-00052,"Video (surveillance videos, APD,EMCS)",video
11-FOI-00053,Unknown,
11-FOI-00054,Unknown,
11-FOI-00055,Unknown,
11-FOI-00056,Unknown,
11-FOI-00057,Contract Management,contracts
11-FOI-00058,Contract Management,contractors
11-FOI-00059,Unknown,
11-FOI-00060,Unknown,
11-FOI-00061,Unknown,
11-FOI-00062,Unknown,
11-FOI-00063,Unknown,
11-FOI-00064,Unknown,
11-FOI-00065,Unknown,
11-FOI-00066,Unknown,
11-FOI-00067,Unknown,
11-FOI-00068,Unknown,
11-FOI-00069,Unknown,
11-FOI-00070,Unknown,
11-FOI-00071,Unknown,
11-FOI-00072,Unknown,
11-FOI-00073,Unknown,
11-FOI-00074,Contract Management,contracts
11-FOI-00075,Telephone Records,telephone
11-FOI-00076,Unknown,
11-FOI-00077,"Contract Management,Central Reporting","contractors,accident"
11-FOI-00078,Central Reporting,accident
11-FOI-00079,Lawsuits,lawsuit
11-FOI-00080,Contract Management,contractors
11-FOI-00082,Unknown,
11-FOI-00083,Unknown,
11-FOI-00084,Unknown,
11-FOI-00085,Unknown,
11-FOI-00086,Telephone Records,telephone
11-FOI-00087,Unknown,
11-FOI-00088,Unknown,
11-FOI-00089,Unknown,
11-FOI-00090,Unknown,
11-FOI-00091,Unknown,
11-FOI-00092,Unknown,
11-FOI-00093,Unknown,
11-FOI-00094,Unknown,
11-FOI-00095,Unknown,
11-FOI-00096,Unknown,
11-FOI-00097,Unknown,
11-FOI-00098,Unknown,
11-FOI-00099,Unknown,
11-FOI-00100,Unknown,
11-FOI-00101,Unknown,
11-FOI-00102,Unknown,
11-FOI-00103,Contract Management,bid
11-FOI-00104,Central Reporting,incident
11-FOI-00105,Unknown,
11-FOI-00106,Unknown,
11-FOI-00107,Unknown,
11-FOI-00108,Unknown,
11-FOI-00109,Unknown,
11-FOI-00110,Unknown,
11-FOI-00111,Unknown,
11-FOI-00112,Procurement,procurement
11-FOI-00113,Claims,claims
11-FOI-00114,Unknown,
11-FOI-00115,Unknown,
11-FOI-00116,Unknown,
11-FOI-00117,Unknown,
11-FOI-00118,"Video (surveillance videos, APD,EMCS)",video
11-FOI-00119,Unknown,
11-FOI-00120,Central Reporting,accident
11-FOI-00121,Unknown,
11-FOI-00122,Unknown,
11-FOI-00123,Unknown,
11-FOI-00124,Unknown,
11-FOI-00125,"Video (surveillance videos, APD,EMCS),Central Reporting","video,accident"
11-FOI-00126,"Video (surveillance videos, APD,EMCS),Central Reporting","video,accident"
11-FOI-00127,Unknown,
11-FOI-00128,Unknown,
11-FOI-00130,Unknown,
11-FOI-00131,Unknown,
11-FOI-00132,Unknown,
11-FOI-00133,Unknown,
11-FOI-00134,"Police Department,Central Reporting","police,incident"
11-FOI-00135,Unknown,
11-FOI-00136,Unknown,
11-FOI-00137,Central Reporting,accident
11-FOI-00138,Unknown,
11-FOI-00139,Unknown,
11-FOI-00140,Unknown,
11-FOI-00141,Unknown,
11-FOI-00142,Unknown,
11-FOI-00143,Unknown,
11-FOI-00144,Unknown,
11-FOI-00145,Unknown,
11-FOI-00146,Unknown,
11-FOI-00147,Unknown,
11-FOI-00148,Unknown,
11-FOI-00149,Unknown,
11-FOI-00150,Unknown,
11-FOI-00151,Unknown,
11-FOI-00152,"Video (surveillance videos, APD,EMCS)",video
11-FOI-00153,Unknown,
11-FOI-00154,Central Reporting,incident
11-FOI-00155,Unknown,
11-FOI-00157,Unknown,
11-FOI-00158,Unknown,
11-FOI-00159,Unknown,
11-FOI-00160,Unknown,
11-FOI-00161,Unknown,
11-FOI-00162,Unknown,
11-FOI-00163,Unknown,
11-FOI-00164,Unknown,
11-FOI-00165,Central Reporting,accident
11-FOI-00166,Unknown,
11-FOI-00167,Unknown,
11-FOI-00168,Contract Management,contracts
11-FOI-00169,Unknown,
11-FOI-00170,Unknown,
11-FOI-00171,Unknown,
12-FOI-00001,Unknown,
12-FOI-00002,"Video (surveillance videos, APD,EMCS)",surveillance
12-FOI-00003,Unknown,
12-FOI-00004,Unknown,
12-FOI-00005,Unknown,
12-FOI-00006,Unknown,
12-FOI-00007,Unknown,
12-FOI-00008,Unknown,
12-FOI-00009,Central Reporting,accident
12-FOI-00010,Unknown,
12-FOI-00011,Unknown,
12-FOI-00012,Unknown,
12-FOI-00013,Unknown,
12-FOI-00014,Unknown,
12-FOI-00015,Unknown,
12-FOI-00016,Unknown,
12-FOI-00017,Unknown,
12-FOI-00018,Unknown,
12-FOI-00019,Unknown,
12-FOI-00020,Unknown,
12-FOI-00021,Unknown,
12-FOI-00022,Contract Management,bid
12-FOI-00023,Unknown,
12-FOI-00024,Unknown,
12-FOI-00025,"Video (surveillance videos, APD,EMCS)",video
12-FOI-00026,Unknown,
12-FOI-00027,Unknown,
12-FOI-00028,Unknown,
12-FOI-00029,Unknown,
12-FOI-00030,Unknown,
12-FOI-00031,"Video (surveillance videos, APD,EMCS)",video
12-FOI-00032,Unknown,
12-FOI-00033,Unknown,
12-FOI-00034,Contract Management,contract
12-FOI-00035,Unknown,
12-FOI-00036,"Video (surveillance videos, APD,EMCS)",video
12-FOI-00037,"Video (surveillance videos, APD,EMCS)",video
12-FOI-00038,Unknown,
12-FOI-00039,Contract Management,contracts
12-FOI-00040,Unknown,
12-FOI-00041,Unknown,
12-FOI-00042,Unknown,
12-FOI-00043,Unknown,
12-FOI-00044,Unknown,
12-FOI-00045,Unknown,
12-FOI-00046,Central Reporting,incident
12-FOI-00048,Unknown,
12-FOI-00050,Unknown,
12-FOI-00051,Central Reporting,incident
12-FOI-00052,Unknown,
12-FOI-00053,Unknown,
12-FOI-00054,Unknown,
12-FOI-00056,Unknown,
12-FOI-00057,Unknown,
12-FOI-00058,Central Reporting,incident
12-FOI-00059,Unknown,
12-FOI-00060,Unknown,
12-FOI-00061,Unknown,
12-FOI-00062,Unknown,
12-FOI-00063,Unknown,
12-FOI-00064,Contract Management,contract
12-FOI-00065,Unknown,
12-FOI-00066,"Police Department,Video (surveillance videos, APD,EMCS)","police,video"
12-FOI-00067,Central Reporting,accident
12-FOI-00069,Contract Management,contracts
12-FOI-00070,Unknown,
12-FOI-00071,Unknown,
12-FOI-00072,Unknown,
12-FOI-00074,Unknown,
12-FOI-00075,Central Reporting,accident
12-FOI-00077,Unknown,
12-FOI-00078,Unknown,
12-FOI-00079,Unknown,
12-FOI-00080,Unknown,
12-FOI-00081,Unknown,
12-FOI-00082,Unknown,
12-FOI-00083,Unknown,
12-FOI-00084,Unknown,
12-FOI-00085,Unknown,
12-FOI-00086,Central Reporting,accident
12-FOI-00087,"Police Department,Central Reporting","police,incident"
12-FOI-00088,Unknown,
12-FOI-00089,Unknown,
12-FOI-00090,Unknown,
12-FOI-00091,Unknown,
12-FOI-00092,Unknown,
12-FOI-00093,Telephone Records,telephone
12-FOI-00094,Unknown,
12-FOI-00095,Unknown,
12-FOI-00096,"Video (surveillance videos, APD,EMCS)",video
12-FOI-00097,Unknown,
12-FOI-00098,Unknown,
12-FOI-00099,Unknown,
12-FOI-00100,Unknown,
12-FOI-00101,Unknown,
12-FOI-00102,Unknown,
12-FOI-00103,Unknown,
12-FOI-00104,"Video (surveillance videos, APD,EMCS)",surveillance
12-FOI-00105,Unknown,
12-FOI-00106,Unknown,
12-FOI-00107,Unknown,
12-FOI-00108,Unknown,
12-FOI-00109,Unknown,
12-FOI-00110,Train Schedules,delays
12-FOI-00111,Unknown,
12-FOI-00112,Unknown,
12-FOI-00113,Unknown,
12-FOI-00114,Unknown,
12-FOI-00115,Unknown,
12-FOI-00116,Unknown,
12-FOI-00117,Unknown,
12-FOI-00118,Unknown,
12-FOI-00119,Unknown,
12-FOI-00120,Unknown,
12-FOI-00121,Unknown,
12-FOI-00122,Unknown,
12-FOI-00123,Unknown,
12-FOI-00124,Unknown,
12-FOI-00125,Central Reporting,incident
12-FOI-00126,Unknown,
12-FOI-00127,Email searches,emails
12-FOI-00128,Unknown,
12-FOI-00129,Unknown,
12-FOI-00130,Unknown,
12-FOI-00131,"Video (surveillance videos, APD,EMCS),Central Reporting","video,accident"
12-FOI-00132,Unknown,
12-FOI-00133,Unknown,
12-FOI-00134,Central Reporting,incident
12-FOI-00135,Unknown,
12-FOI-00136,Unknown,
12-FOI-00137,Unknown,
12-FOI-00138,Unknown,
12-FOI-00139,Unknown,
12-FOI-00141,Unknown,
12-FOI-00142,Unknown,
12-FOI-00144,Unknown,
12-FOI-00145,Unknown,
12-FOI-00146,Unknown,
12-FOI-00147,Contract Management,contract
12-FOI-00148,Unknown,
12-FOI-00149,Unknown,
12-FOI-00150,Unknown,
12-FOI-00151,Unknown,
12-FOI-00152,Unknown,
12-FOI-00153,Unknown,
12-FOI-00154,Unknown,
12-FOI-00155,Unknown,
12-FOI-00156,Unknown,
12-FOI-00157,Unknown,
12-FOI-00158,Unknown,
12-FOI-00159,Unknown,
12-FOI-00160,Unknown,
12-FOI-00161,Unknown,
12-FOI-00162,Central Reporting,accident
12-FOI-00163,Central Reporting,accident
12-FOI-00164,Central Reporting,accident
12-FOI-00165,Contract Management,contract
12-FOI-00166,Unknown,
12-FOI-00167,Unknown,
12-FOI-00168,Unknown,
12-FOI-00169,Unknown,
12-FOI-00170,Unknown,
12-FOI-00171,Unknown,
12-FOI-00172,Unknown,
12-FOI-00173,Unknown,
12-FOI-00174,"Contract Management,VP Comptroller Finance Financial Planning and Analysis ","contract,financial"
12-FOI-00175,Unknown,
12-FOI-00176,Unknown,
12-FOI-00177,Unknown,
12-FOI-00178,Unknown,
12-FOI-00179,Unknown,
12-FOI-00180,Unknown,
12-FOI-00181,Unknown,
12-FOI-00182,Unknown,
12-FOI-00183,Unknown,
12-FOI-00184,Unknown,
12-FOI-00185,Contract Management,contracts
12-FOI-00186,Unknown,
12-FOI-00187,Unknown,
12-FOI-00188,Unknown,
12-FOI-00189,Contract Management,contract
12-FOI-00190,Unknown,
12-FOI-00191,Unknown,
12-FOI-00192,Unknown,
12-FOI-00193,Unknown,
12-FOI-00194,Telephone Records,telephone
12-FOI-00195,Unknown,
12-FOI-00196,Unknown,
12-FOI-00197,Unknown,
12-FOI-00198,Unknown,
12-FOI-00199,"Procurement,Contract Management","solicitation,bid"
12-FOI-00200,Unknown,
12-FOI-00201,Central Reporting,incident
13-FOI-00001,Lawsuits,lawsuit
13-FOI-00002,Unknown,
13-FOI-00003,Central Reporting,accident
13-FOI-00004,Unknown,
13-FOI-00005,Central Reporting,incident
13-FOI-00006,Unknown,
13-FOI-00007,Unknown,
13-FOI-00008,Unknown,
13-FOI-00009,Mechanical Systems,locomotives
13-FOI-00010,Unknown,
13-FOI-00011,Unknown,
13-FOI-00012,Unknown,
13-FOI-00013,Unknown,
13-FOI-00014,Unknown,
13-FOI-00015,Central Reporting,accident
13-FOI-00016,Central Reporting,incident
13-FOI-00017,Unknown,
13-FOI-00018,Unknown,
13-FOI-00019,Unknown,
13-FOI-00020,Unknown,
13-FOI-00021,Contract Management,contracts
13-FOI-00023,Unknown,
13-FOI-00024,Unknown,
13-FOI-00025,Contract Management,contract
13-FOI-00026,"Video (surveillance videos, APD,EMCS)",video
13-FOI-00027,Unknown,
13-FOI-00028,Contract Management,contracts
13-FOI-00029,Unknown,
13-FOI-00030,Mechanical Systems,locomotives
13-FOI-00031,"Central Reporting,Police Department,Customer Service","incident,police,customer"
13-FOI-00032,Unknown,
13-FOI-00034,Unknown,
13-FOI-00035,Unknown,
13-FOI-00037,Unknown,
13-FOI-00038,Contract Management,contracts
13-FOI-00039,Unknown,
13-FOI-00040,Central Reporting,incident
13-FOI-00041,Contract Management,bid
13-FOI-00042,Mechanical Systems,locomotives
13-FOI-00043,Unknown,
13-FOI-00044,Unknown,
13-FOI-00045,Unknown,
13-FOI-00046,Unknown,
13-FOI-00047,Unknown,
13-FOI-00048,"Video (surveillance videos, APD,EMCS)",video
13-FOI-00049,Unknown,
13-FOI-00050,Contract Management,contractors
13-FOI-00051,Unknown,
13-FOI-00052,Unknown,
13-FOI-00053,Unknown,
13-FOI-00054,"Telephone Records,Central Reporting","telephone,accident"
13-FOI-00055,Unknown,
13-FOI-00056,Unknown,
13-FOI-00057,Unknown,
13-FOI-00058,"Video (surveillance videos, APD,EMCS)",video
13-FOI-00059,Unknown,
13-FOI-00060,Unknown,
13-FOI-00061,Unknown,
13-FOI-00062,Unknown,
13-FOI-00063,Unknown,
13-FOI-00064,"Contract Management,Procurement","bid,solicitation"
13-FOI-00065,Unknown,
13-FOI-00066,Unknown,
13-FOI-00067,Unknown,
13-FOI-00068,Unknown,
13-FOI-00069,Unknown,
13-FOI-00070,Unknown,
13-FOI-00071,Contract Management,contracts
13-FOI-00072,Unknown,
13-FOI-00073,Unknown,
13-FOI-00074,Unknown,
13-FOI-00075,Unknown,
13-FOI-00076,Central Reporting,incident
13-FOI-00077,Unknown,
13-FOI-00078,Unknown,
13-FOI-00079,Unknown,
13-FOI-00080,Unknown,
13-FOI-00081,Unknown,
13-FOI-00082,Unknown,
13-FOI-00083,Contract Management,contract
13-FOI-00084,Unknown,
13-FOI-00085,Central Reporting,incident
13-FOI-00086,Mechanical Systems,locomotives
13-FOI-00087,Unknown,
13-FOI-00088,Unknown,
13-FOI-00089,Unknown,
13-FOI-00090,Unknown,
13-FOI-00091,Unknown,
13-FOI-00092,Unknown,
13-FOI-00093,"Video (surveillance videos, APD,EMCS),Central Reporting","video,incident"
13-FOI-00094,Unknown,
13-FOI-00095,Unknown,
13-FOI-00096,"Police Department,Central Reporting","police,accident"
13-FOI-00097,Unknown,
13-FOI-00098,Unknown,
